,
Bacan,Cool
Berraquera,Determination
Boleta,Embarrassing
Caco,Thief
Camello,work
Un Camello,A job
Cantaleta,Scolding
Cantaleta,Nagging
Catorce,A favor
Checheres,Stuff
Chimba,Cool Thing
Chimba,Cool Person
Chino,Friend
Chino ,Kids
Chucha,Bad Body Odor
Churrias,Diarrhea
Churro,A Handsome Guy
Chuspa,A Plastic Bag
Descache,A Mistake
Descache,Blunder
Embarrada,Bad Thing
Embarrada,Big Mistake
Embarrada,Someone terrible
Embarrada,Someone Crazy
Gallinazo,Man who likes to flirt
Gomelo,Snob
Gomela,Snob
Guachafita,Chaos
Guachafita,Disorder
Guache,Very Rude
Guaro,A drink
Guayabo ,Hangover
Jincho,Drunk
Jincha,Drunk
Llave,Friend
Mecato,Snacks
Parcero,Friend
Parcera,Friend
Paro,Strike
Plata,Money
Rumba,Party
Sapo,Snitch
Tombo,Policeman
Vaina,Thing
Prendido,Tipsy
Tenaz,Tough
Guisear,To cook
Rajarse,Fail
Cuadrar ,To Plan
Camellar,Work Hard
