,
Padre,Father
Padre,Cool
Compa,Friend
Gato ,Jack
Chido,Cool
Aguas,Water
Aguas,Careful
Huevon,Lazy
Orale,Lets do it
Chamba,Work
Crudo,Hungover
Chela,Beer
Cheve,Beer
Chafa,Low Quality
Fresa,Strawberry
Fresa,Snobby
Carnal,Friend
Cuate,Friend
No Manches,No way
Pedo,Fart
Pedo,Drunk
Chava,Girl
Chavo,Boy
Codo,Elbow
Codo,Stingy
La Neta,Really
La Neta,The Truth
Guey,Dude
Bronca,Problem
Naco,Tacky
Naco ,Poor attitude
Metiche,Nosy
Cantina,Canteen
Cantina,Bar
Antro,Club
Antro,Joint
Changarro,Small Business
Varos,Money
Gacho,Bad
Gacho,Ugly
Ratero,Pickpocket
Ratero,Thief
Chorro,Diarhea
Chorro,Large Quantities
Gacho,Not cool
Buena Onda,Good Vibes
Pachanga,Party
Lana,Money
Feria,Money
